# trace: 第一关-0-60秒-内存录屏.json
# startTime: 2026-05-02T13:34:03.731Z
# tsMin: 48886771547 tsMax: 48971073769 range_us: 84302222
time_s,event,documents,jsListeners,nodes,heap_used_mb,gc_heap_before_mb,gc_heap_after_mb,dur_ms,url_or_note
0.183,UpdateCounters,3,102,1185,34.27,,,,
1.471,MinorGC,,,,,41.97,29.63,1.006,allocation failure
1.491,MajorGC,,,,,29.95,26.77,7.831,finalize incremental marking via task
1.510,UpdateCounters,1,55,1162,27.08,,,,
2.050,MajorGC,,,,,37.30,26.72,6.758,finalize incremental marking via task
2.537,MajorGC,,,,,36.65,26.99,5.017,finalize incremental marking via task
2.917,MajorGC,,,,,34.20,27.22,8.14,finalize incremental marking via task
2.939,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1@f9941
2.958,UpdateCounters,1,56,1173,28.38,,,,
2.970,XHRLoad,,,,,,,0.701,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1@f9941
2.971,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1@f9941.json
2.977,XHRLoad,,,,,,,1.155,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1@f9941.json
2.978,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1@6c48a
2.978,UpdateCounters,1,61,1173,28.83,,,,
2.984,XHRLoad,,,,,,,0.571,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1@6c48a
2.984,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1@6c48a.json
2.991,XHRLoad,,,,,,,0.956,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1@6c48a.json
2.991,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1
2.992,UpdateCounters,1,66,1173,28.85,,,,
2.996,XHRLoad,,,,,,,0.721,http://localhost:7456/query-extname/918d790f-a5a5-45f7-a0a1-45515e71e9c1
2.997,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1.json
2.998,UpdateCounters,1,70,1173,28.85,,,,
3.004,XHRLoad,,,,,,,0.726,http://localhost:7456/assets/resources/import/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1.json
3.005,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/91/918d790f-a5a5-45f7-a0a1-45515e71e9c1.png
3.012,UpdateCounters,1,74,1174,29.04,,,,
3.854,UpdateCounters,1,74,1175,36.64,,,,
4.353,MinorGC,,,,,40.99,29.46,1.16,allocation failure
4.517,UpdateCounters,1,74,1178,31.36,,,,
5.191,UpdateCounters,1,77,1182,37.40,,,,
5.231,UpdateCounters,1,80,1182,37.79,,,,
5.550,UpdateCounters,1,80,1183,40.75,,,,
5.665,MinorGC,,,,,41.88,31.12,2.83,allocation failure
6.218,UpdateCounters,1,83,1183,36.81,,,,
